Open,High,Low,Close,Volume,TradingDate
69267.0,70189.0,68883.0,69728.0,386290,2020-01-02
70266.0,70496.0,69037.0,69037.0,536130,2020-01-03
68499.0,68730.0,67194.0,67194.0,880110,2020-01-06
66810.0,67501.0,65581.0,67424.0,1013270,2020-01-07
66733.0,67501.0,66195.0,66810.0,722280,2020-01-08
67347.0,68269.0,67347.0,68115.0,722670,2020-01-09
68115.0,69421.0,67501.0,68730.0,1526920,2020-01-10
68346.0,68960.0,68346.0,68653.0,1044640,2020-01-13
68730.0,69114.0,68422.0,68653.0,1001130,2020-01-14
68806.0,68806.0,68192.0,68576.0,1471860,2020-01-15
68576.0,69344.0,68269.0,68730.0,1171580,2020-01-16
68730.0,72569.0,68730.0,72569.0,2219790,2020-01-17
72569.0,72800.0,71801.0,72185.0,832190,2020-01-20
72109.0,72646.0,71878.0,72185.0,749590,2020-01-21
72185.0,72953.0,71494.0,71725.0,877710,2020-01-22
70726.0,70957.0,66810.0,68269.0,3541560,2020-01-30
67578.0,68960.0,67347.0,68115.0,1270160,2020-01-31
64583.0,69267.0,63738.0,68115.0,1457070,2020-02-03
68346.0,68960.0,67347.0,68960.0,1118410,2020-02-04
69267.0,69421.0,68192.0,68269.0,731310,2020-02-05
68346.0,69805.0,68192.0,68653.0,889570,2020-02-06
68960.0,69728.0,68346.0,69114.0,1170540,2020-02-07
68499.0,68730.0,67962.0,68269.0,607060,2020-02-10
68346.0,68730.0,68269.0,68499.0,520210,2020-02-11
68960.0,68960.0,68422.0,68653.0,609750,2020-02-12
68499.0,68730.0,68192.0,68576.0,633270,2020-02-13
68346.0,68960.0,68346.0,68576.0,432800,2020-02-14
68576.0,69037.0,68422.0,68653.0,343900,2020-02-17
68806.0,68806.0,68346.0,68653.0,432880,2020-02-18
68346.0,68730.0,68346.0,68730.0,208280,2020-02-19
68883.0,69421.0,68499.0,68730.0,541120,2020-02-20
68730.0,68730.0,68346.0,68346.0,898350,2020-02-21
66042.0,67578.0,66042.0,66963.0,995910,2020-02-24
66042.0,66810.0,65888.0,66195.0,1229530,2020-02-25
66042.0,66042.0,64506.0,65274.0,1163030,2020-02-26
64506.0,64967.0,63661.0,64506.0,1227980,2020-02-27
61511.0,64045.0,61511.0,63277.0,1710080,2020-02-28
62586.0,63124.0,62433.0,62817.0,668980,2020-03-02
64122.0,64122.0,63124.0,63124.0,848270,2020-03-03
62970.0,62970.0,62202.0,62740.0,581530,2020-03-04
63124.0,64199.0,63124.0,63815.0,833710,2020-03-05
63738.0,65812.0,62970.0,64890.0,884750,2020-03-06
60666.0,62125.0,60359.0,60359.0,1209500,2020-03-09
59898.0,61358.0,57902.0,61358.0,1433230,2020-03-10
61741.0,61741.0,57134.0,59131.0,1806190,2020-03-11
55291.0,56059.0,55061.0,55061.0,1582400,2020-03-12
51221.0,56059.0,51221.0,54523.0,1859750,2020-03-13
54523.0,54523.0,51067.0,51528.0,1022550,2020-03-16
48840.0,51835.0,48840.0,51835.0,1364590,2020-03-17
52219.0,54293.0,52219.0,53217.0,1099800,2020-03-18
51682.0,52757.0,50683.0,50683.0,1191150,2020-03-19
50683.0,50914.0,47228.0,47228.0,2763360,2020-03-20
44233.0,44924.0,43926.0,43926.0,1875070,2020-03-23
43926.0,44847.0,43465.0,44540.0,1498070,2020-03-24
46076.0,47612.0,45845.0,47612.0,1835730,2020-03-25
47612.0,49685.0,47228.0,48533.0,1484590,2020-03-26
49071.0,50607.0,47996.0,49224.0,1569620,2020-03-27
46153.0,47151.0,45922.0,46844.0,1637330,2020-03-30
47304.0,49224.0,46076.0,47612.0,957500,2020-03-31
47304.0,50607.0,47228.0,49915.0,1229320,2020-04-01
49915.0,50914.0,49147.0,50299.0,1726690,2020-04-03
51835.0,52450.0,50683.0,52219.0,2111200,2020-04-06
52219.0,52987.0,51298.0,52373.0,1773570,2020-04-07
51451.0,52373.0,51298.0,51835.0,1778380,2020-04-08
52219.0,55291.0,52219.0,54523.0,1795170,2020-04-09
54523.0,55214.0,53448.0,54216.0,1599380,2020-04-10
54216.0,55137.0,53755.0,54369.0,1046830,2020-04-13
54139.0,54369.0,52066.0,53678.0,1944570,2020-04-14
53525.0,54753.0,53525.0,54446.0,1017740,2020-04-15
53755.0,54677.0,53601.0,54677.0,1057050,2020-04-16
54907.0,55137.0,54446.0,54830.0,1473140,2020-04-17
55061.0,55598.0,54369.0,55214.0,1026030,2020-04-20
54523.0,54907.0,52066.0,54907.0,2159110,2020-04-21
52987.0,54600.0,52987.0,53217.0,1612290,2020-04-22
54523.0,54523.0,52834.0,53141.0,1201610,2020-04-23
53141.0,53448.0,51835.0,52910.0,972170,2020-04-24
53678.0,53678.0,51298.0,51298.0,2547060,2020-04-27
51298.0,52603.0,50069.0,51451.0,2052860,2020-04-28
51451.0,52296.0,51451.0,52219.0,1523750,2020-04-29
52219.0,52296.0,51298.0,51758.0,852260,2020-05-04
51682.0,51989.0,51298.0,51298.0,1007640,2020-05-05
51682.0,51989.0,51067.0,51912.0,855770,2020-05-06
52066.0,53525.0,51989.0,53525.0,1936540,2020-05-07
53755.0,56980.0,53601.0,56443.0,3865590,2020-05-08
56443.0,57211.0,55675.0,57211.0,1696160,2020-05-11
57288.0,58363.0,57134.0,58055.0,2199500,2020-05-12
58055.0,58747.0,55291.0,58055.0,1851970,2020-05-13
57595.0,58670.0,57518.0,58363.0,2121750,2020-05-14
58670.0,58747.0,58055.0,58363.0,1596240,2020-05-15
58593.0,60666.0,58209.0,60282.0,1002690,2020-05-18
61358.0,61511.0,60513.0,60666.0,1129270,2020-05-19
60206.0,61204.0,60206.0,61127.0,710200,2020-05-20
61434.0,62356.0,61127.0,62356.0,1425500,2020-05-21
62356.0,62433.0,61434.0,62202.0,805710,2020-05-22
62125.0,62433.0,62049.0,62279.0,708710,2020-05-25
62202.0,63431.0,62202.0,63354.0,740930,2020-05-26
63738.0,64813.0,63661.0,63661.0,817770,2020-05-27
63738.0,65351.0,63738.0,64890.0,1849310,2020-05-28
65274.0,66042.0,64890.0,65428.0,1161180,2020-05-29
65658.0,66579.0,65658.0,66426.0,725310,2020-06-01
66733.0,66733.0,66272.0,66503.0,1009040,2020-06-02
66810.0,67501.0,66733.0,67501.0,462750,2020-06-03
67578.0,68346.0,67578.0,68346.0,450240,2020-06-04
68422.0,68576.0,66810.0,68346.0,810570,2020-06-05
68346.0,69267.0,67885.0,68653.0,802240,2020-06-08
69037.0,69114.0,68653.0,68730.0,417690,2020-06-09
68730.0,68960.0,68576.0,68806.0,793590,2020-06-10
68730.0,68806.0,66810.0,67578.0,1163900,2020-06-11
